OFFs-ID,x-coordinate,y-coordinate,OFF-price,capacity
266, 116.320004201, 39.8176610831, 15899.641611330211, 7
366, 116.607014521, 39.9282967469, 4904.587977932477, 1
363, 116.502626803, 40.3099970656, 9553.282326366925, 7
357, 116.293923268, 40.2899189035, 11561.826964939732, 7
8, 116.841918165, 39.6968551834, 11932.803139018224, 2
448, 115.942123188, 39.7673408481, 12511.388789538092, 5
431, 116.463486358, 40.0388528672, 20000, 16
86, 116.163557584, 40.5710065174, 9000, 4
495, 116.580916101, 40.0489001184, 30000, 1
320, 115.955141021, 39.9081876299, 15000, 5
122, 116.280883699, 40.1493479364, 14000, 5
360, 116.085374314, 40.1995577873, 11770.096214115794, 5
118, 116.241768785, 40.1995577873, 14000, 4
109, 115.929106424, 39.6867820062, 11932.803139018224, 2
379, 116.189625065, 39.8075987121, 17942.789677004203, 5
96, 116.411304501, 39.737138262, 13000, -176
241, 116.580916101, 40.1593905544, 12218.115977315954, 9
385, 115.968159904, 39.6968551834, 12822.572477144135, 5
247, 116.685313813, 39.7572742176, 11099.314311304845, 7
316, 116.202659926, 40.2296801995, 13000, 2
429, 116.033269485, 39.8176610831, 11427.421760198555, 6
315, 116.124462225, 39.8277226439, 15027.256190919965, 8
313, 116.4373946, 39.8981320507, 20000, 3
235, 116.306963441, 40.0689931627, 10663.286494336176, 9
325, 116.593965207, 40.1192179163, 12893.664577777246, 5
302, 115.890062714, 39.7270689091, 11426.476878300417, 8
368, 116.463486358, 39.8075987121, 13134.284041501422, 7
345, 116.672263611, 40.2598004466, 11945.82344358675, 5
374, 116.737515327, 40.1593905544, 13838.456658243573, 2
274, 116.150524999, 40.1192179163, 19496.51503119234, 6
356, 116.346087412, 39.8377834084, 18000, -374
48, 116.672263611, 40.0890843555, 13000, 4
65, 116.372172763, 39.6867820062, 11200, 12
485, 116.463486358, 40.1393049666, 14000, 3
47, 116.763616266, 40.2899189035, 4826.497687739026, 18
350, 116.4373946, 40.1192179163, 14000, 3
201, 116.202659926, 39.7673408481, 13000, 0
76, 115.994200755, 40.0991292923, 14000, 5
289, 116.333045531, 39.9785582781, 22000, 3
286, 116.085374314, 39.8880757723, 14000, -29
190, 116.528722105, 40.0890843555, 14000, -17
369, 116.385216198, 40.1192179163, 11918.704859841488, 7
298, 117.024599567, 40.1192179163, 10000, 5
127, 116.580916101, 40.2196396545, 12000, 2
293, 116.476532816, 39.7472066935, 12377.276542382957, 7
62, 116.868018032, 40.0689931627, 12000, 3
181, 116.554818584, 40.2095988551, 11801.786757924216, 5
88, 116.659213515, 39.6968551834, 11351.29135059149, 7
419, 116.554818584, 39.8880757723, 25000, 2
301, 116.580916101, 39.8679610629, 19640.375032552034, 7
440, 116.26784475, 39.6666326653, 12122.714075090938, 8
303, 115.90307617, 39.8478433905, 13000, 2
326, 116.789717144, 40.0589468789, 12000, 5
405, 116.750565796, 40.2095988551, 13000, 3
196, 117.155045904, 40.3099970656, 11647.70911085405, 5
142, 116.802767517, 40.2095988551, 11697.950565454314, 6
278, 116.176590945, 39.9584555266, 14000, 5
441, 116.489579637, 39.9282967469, 24159.47252741495, 6
120, 116.894117288, 40.2497605816, 10929.98524128516, 2
216, 116.25480644, 39.9986586779, 22000, 5
391, 116.4373946, 39.8478433905, 18000, 2
398, 116.789717144, 39.6565564739, 11349.77170166189, 8
348, 116.724464877, 39.8176610831, 13000, 0
89, 116.528722105, 40.1593905544, 13000, 2
277, 116.372172763, 40.4605744548, 8000, 5
395, 115.877050395, 40.1091738079, 15000, 2
420, 116.776666722, 40.1091738079, 13238.865665572766, 7
79, 116.320004201, 39.9584555266, 15626.026885400513, 9
229, 116.085374314, 40.0489001184, 15639.232821822046, 7
