schools-ID,x-coordinate,y-coordinate,Num-student
19, 114.1202791, 22.59279885, 8
323, 113.796559, 22.7226197, 1
16, 114.1264577, 22.60106998, 28
310, 113.8368033, 22.78445901, 2
1139, 114.1385731, 22.62852203, 2
169, 113.8392275, 22.70940501, 10
103, 114.1084048, 22.62128041, 3
1862, 114.26550472658485, 22.659593152347203, 0
472, 113.8920223, 22.50545047, 1
1834, 114.10906605498374, 22.546609709494888, 0
366, 114.1164567, 22.69397272, 13
146, 113.8819519, 22.78431814, 18
28, 114.1046557, 22.59398831, 6
1055, 114.1929177, 22.64834688, 2
1266, 114.0526958, 22.74995984, 1
305, 113.8524194, 22.61273559, 1
106, 114.1448987, 22.612774, 3
605, 113.9272376, 22.79252871, 1
1855, 114.05909261934382, 22.724775922219873, 0
467, 113.9611238, 22.54367309, 1
346, 113.8852936, 22.55847545, 1
399, 113.8167886, 22.677837, 1
62, 114.3638261, 22.74511559, 17
369, 113.7823706, 22.73801849, 0
324, 113.8967776, 22.56169212, 2
337, 114.3268399, 22.66954748, 10
1248, 114.0730802, 22.68865243, 1
187, 113.9931461, 22.59076455, 6
25, 113.8736547, 22.60193417, 17
248, 114.0510479, 22.59491539, 3
18, 114.0972231, 22.54143887, 3
1136, 114.217195, 22.62788429, 2
144, 113.9337818, 22.7618021, 10
1848, 114.49799044731319, 22.542264193161326, 0
745, 114.3606856, 22.69001184, 2
456, 113.9124134, 22.52461822, 3
1226, 113.9935558, 22.70272955, 0
460, 113.9569767, 22.59588934, 2
36, 114.1075515, 22.54658266, 78
164, 114.1279367, 22.57240637, 6
755, 114.4066975, 22.7635882, 2
1153, 114.4903355, 22.53765634, 1
19, 113.8700743, 22.55588368, 22
513, 113.9047839, 22.51303554, 1
149, 113.8560451, 22.76570723, 2
8, 114.0889951, 22.55683072, 0
356, 113.9355096, 22.68916665, 0
33, 114.1469336, 22.6788307, 19
690, 114.2309814, 22.56154957, 1
307, 113.8498845, 22.59552003, 2
480, 113.9737498, 22.62394132, 1
459, 113.9145938, 22.54666141, 2
1099, 114.3287404, 22.78805421, 2
388, 113.8003849, 22.74307814, 8
148, 113.8967735, 22.73733075, 11
14, 114.1264577, 22.60106998, 32
1857, 114.00260091760106, 22.750849032760904, 0
1066, 114.2556107, 22.72949293, 3
31, 114.1193772, 22.58155327, 10
1062, 114.3039771, 22.72151924, 4
1395, 114.0523589, 22.5244031, 5
55, 114.1054558, 22.60753083, 4
470, 113.9171848, 22.491473, 4
297, 114.2206988, 22.67479119, 9
594, 113.9009591, 22.73699951, 1
4, 114.2780744, 22.78227554, 14
23, 114.0360777, 22.61330429, 19
730, 114.3778884, 22.75466395, 2
590, 114.2819536, 22.73405987, 4
1240, 114.0299173, 22.63171636, 3
408, 114.302168, 22.60419543, 2
293, 114.1717196, 22.60560437, 4
464, 113.9831187, 22.53829967, 0
1, 114.0827477, 22.55702068, 38
36, 114.1909935, 22.64154101, 14
1404, 114.0355788, 22.54998474, 4
25, 113.9352588, 22.75252555, 22
674, 113.7883502, 22.70651342, 2
93, 114.1647452, 22.56602095, 6
1837, 114.16990329630522, 22.57702832534373, 0
1067, 114.0518838, 22.6424242, 5
259, 114.0433294, 22.61494276, 5
20, 114.1070444, 22.61512856, 16
313, 113.8490645, 22.6110715, 4
255, 113.9224168, 22.52175518, 12
290, 114.1319739, 22.64315745, 7
15, 114.2289843, 22.55465403, 12
