OBs-ID,x-coordinate,y-coordinate,ob-price,capacity
831, 114.2196155, 22.74636217, 1285088.7388900002, 1
575, 114.3198028, 22.60277412, 1189261.7833800002, 1
58, 113.9205107, 22.61736685, 1013345.7760800001, 1
347, 114.1768958, 22.60025679, 904085.55666, 1
819, 114.3935944, 22.61657424, 2003023.4971999999, 1
676, 113.9222223, 22.78389786, 1700054.3560000001, 1
925, 114.0091498, 22.59127621, 1147212.9777900001, 1
732, 114.2387213, 22.56366033, 1760686.83648, 28
891, 114.2191936, 22.6864041, 1790838.8046999997, 1
110, 114.0587637, 22.53249916, 2149315.7835600004, 6
675, 114.2482186, 22.597762, 1031270.7523800002, 30
795, 113.89667, 22.77535293, 1405002.48196, 16
45, 114.1423071, 22.6301128, 1583200.58193, 4
548, 113.8409704, 22.62437861, 2074987.52604, 4
706, 113.8210521, 22.72300151, 1007489.96172, 9
883, 114.0845334, 22.55449314, 2365232.0277299997, 3
510, 114.4733986, 22.55212083, 1034366.1525999999, 1
989, 113.936611, 22.67894119, 1906683.2272267512, 5
31, 114.0644572, 22.65490436, 1516800.86514, 3
818, 114.3625294, 22.72891003, 991338.15693, 1
683, 113.9522202, 22.74086001, 1926215.05428, 3
580, 114.1274377, 22.60239706, 1449884.1746399999, 13
255, 114.2351296, 22.70908286, 1504501.4002699999, 1
677, 113.8891204, 22.53739654, 1099308.35784, 2
529, 114.2567155, 22.71858552, 1220285.0375100002, 1
623, 114.1272273, 22.69348192, 1594830.0746399998, 13
301, 113.9450204, 22.79503735, 1255080.1060600001, 4
661, 114.0545956, 22.61293956, 1165641.297788833, 18
485, 113.77963, 22.74116414, 1683348.5357699997, 1
467, 114.2549672, 22.57753579, 1870742.6478400002, 2
318, 113.8235234, 22.65109646, 1813727.37282, 1
929, 113.9058349, 22.77099762, 1880995.1545, 1
539, 113.9089654, 22.7268016, 1636231.45521, 1
816, 113.92475, 22.75002473, 2070681.0223, 1
401, 114.4249178, 22.63569076, 948165.2153599999, 2
314, 113.8540567, 22.62132675, 1487927.64186, 1
730, 114.1216101, 22.70860227, 1934209.6259199998, 1
749, 114.2650762, 22.59260631, 964906.46681, 12
409, 114.0211554, 22.71756814, 1378126.2910799999, 11
331, 114.1185974, 22.69455967, 1204448.8926800003, 4
498, 114.1092381, 22.55806886, 2119262.05645, 5
22, 114.1200256, 22.56292986, 1024550, 4
865, 114.0383256, 22.73710796, 1590984.1767600004, 1
57, 114.3712383, 22.74697943, 1727582.8034299999, 21
906, 114.0610122, 22.63303021, 1690987.1846999999, 15
572, 114.2818029, 22.58864071, 1463596.0567800002, 1
345, 114.0236759, 22.60839755, 1099545.10281, 1
934, 114.1057548, 22.59821631, 1514765.1805000002, 8
15, 113.8045813, 22.66852381, 1000213.6775400001, 6
333, 113.8504062, 22.60458662, 1946776.4354500002, 3
84, 114.1382922, 22.57066054, 2022349.6171999997, 9
616, 114.0095728, 22.68410389, 2078524.2060000002, 1
115, 113.8927493, 22.76804691, 1445311.93675, 17
402, 113.8728609, 22.57745346, 1926765.8487, 2
500, 113.8391301, 22.6959473, 1497581.0388, 1
896, 114.0574806, 22.53699791, 1356084.8960399996, 4
808, 113.8648179, 22.81262019, 1294192.9519200001, 1
850, 113.8686746, 22.79460203, 1202571.0380199999, 8
20, 113.8691683, 22.5938327, 2313458.9627600005, 1
477, 113.9821344, 22.54958485, 938920.8879599998, 4
561, 114.0254399, 22.71858525, 2043560.0339, 43
69, 114.0183449, 22.6386412, 2097898.6413000003, 2
694, 114.2008166, 22.65662947, 1532617.6838500001, 1
1, 114.3064406, 22.77130579, 1412681.5757197752, 13
568, 113.9771094, 22.55295138, 893256.4874199999, 24
840, 114.0711415, 22.58481421, 1766281.74822, 1
972, 113.9053659, 22.57987075, 766401.44625, 1
179, 114.2888605, 22.71543158, 2271770.91141, 2
151, 113.8918665, 22.54628175, 825249.48165, 1
566, 113.9345508, 22.57649825, 2220377.9268, 1
165, 114.1416898, 22.68866649, 1313652.74425, 2
981, 113.8415874, 22.63328315, 1889393.96415, 1
905, 114.087863, 22.62720595, 2129429.2060800004, 1
880, 114.1223451, 22.60760209, 1302384.00578, 2
904, 114.1172224, 22.59546438, 1853690.5679600001, 5
779, 113.8716275, 22.75540599, 1686055.7331618494, 21
159, 113.931978, 22.6304777, 1950855.8572800003, 4
956, 114.150488, 22.61391258, 1449149.78208, 1
898, 113.7794005, 22.71257294, 1722395.3507199998, 1
334, 113.7871258, 22.74874071, 1410265.62864, 1
802, 114.0610319, 22.71362, 1416353.35644, 20
