residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
1104, 113.933393, 22.49101418, 3132000, 62640, 1
496, 114.0660873, 22.62543468, 1413696, 28559.52, 1
53, 114.1258456, 22.70170658, 821667, 16767, 1
397, 114.1363146, 22.61920252, 1163700, 23274, 1
1155, 113.9416942, 22.58496019, 2324700, 51333.1328639808, 1
1181, 113.8909863, 22.77584712, 1291059, 26082, 1
1012, 113.8880662, 22.59094183, 1379700, 27594, 1
827, 113.9395252, 22.74660296, 1401300, 28026, 1
944, 113.9222668, 22.53854073, 2590200, 51804, 1
339, 114.0380729, 22.65203364, 448902, 8978.04, 1
811, 114.2918596, 22.7332325, 751113, 15174, 1
200, 114.1364108, 22.58071642, 1539000, 30780, 1
1302, 113.8723553, 22.56992037, 900801, 18198, 1
0, 114.0047737077914, 22.553127978175954, 2687715, 48539.940802692494, 1
1431, 114.0552119, 22.57259476, 1563380, 28234.298856309786, 0
1411, 113.8281835, 22.78771022, 1224234, 24732, 1
1134, 113.9073847, 22.53967906, 2120986, 43281, 1
1298, 114.0734797, 22.53513319, 1650809, 33349.68, 1
1418, 113.8963327, 22.58379126, 1176120, 23760, 1
310, 113.8331494, 22.77119285, 702000, 15501.294476928002, 1
1085, 114.0844342, 22.54751853, 2423883, 43774.825694083185, 0
88, 114.1034408, 22.56883008, 1994833, 40299.66, 1
1423, 114.0783056, 22.54244888, 1326049, 26788.86, 1
1495, 113.8620862, 22.6198378, 1309770, 26460, 1
971, 113.8712327, 22.59794122, 1746900, 34938, 1
1402, 113.9262389, 22.51063991, 2446024, 48920.48, 1
814, 114.1466609, 22.60673974, 817938, 16524, 1
1393, 114.1187972, 22.54758788, 1384347, 27966.6, 1
702, 113.9091002, 22.52678535, 1938816, 39168, 1
592, 114.1002178, 22.54785762, 1533634, 30982.5, 1
223, 113.8957434, 22.53233885, 3109978, 57902.62935561859, 2
1171, 114.1149586, 22.53830507, 1510650, 30213, 1
463, 114.1178066, 22.60123914, 1146182, 23155.2, 1
433, 114.0981961, 22.61381608, 1111968, 22464, 1
949, 114.1196643, 22.5448738, 1559601, 31192.02, 1
478, 113.8971921, 22.59802317, 2314494, 46289.88, 1
1218, 114.1299479, 22.57726751, 1397979, 28242, 1
709, 113.8593418, 22.62832393, 1138941, 22778.82, 1
190, 113.9072826, 22.56269528, 2173069, 43900.38, 1
1187, 113.9359076, 22.50245966, 2726460, 55080, 1
406, 114.0565715, 22.63708957, 885600, 17712, 1
1252, 114.2115401, 22.71321091, 990900, 19818, 1
695, 113.9663665, 22.53298109, 2673000, 54000, 1
1184, 114.2293875, 22.55232667, 1054438, 21301.78, 1
742, 114.0538106, 22.56289837, 1420191, 28403.82, 1
1228, 114.1080087, 22.68908288, 1078850, 21794.94, 1
1378, 113.9091263, 22.53367041, 1956636, 39528, 1
128, 114.1078266, 22.5959355, 741984, 14989.58, 1
621, 114.1163171, 22.68047672, 222480, 4449.6, 1
961, 114.0569722, 22.51413081, 1871100, 37800, 1
360, 114.4135457, 22.63002625, 713700, 14274, 1
664, 113.9598081, 22.53710949, 2303202, 41595.35873685659, 0
