firms-ID,x-coordinate,y-coordinate,capacity,staff,cost
413, 114.0189224, 22.74761867, 2, 1.2890528905289054, 1357824
687, 113.9426484, 22.73934999, 2, 1.2890528905289054, 1016392
1429, 113.8733725, 22.8019963, 8, 6.445264452644526, 2817835
1837, 113.9307782, 22.54961563, 2, 1.2890528905289054, 1281865
769, 113.9887725, 22.6637733, 2, 1.2890528905289054, 834948
250, 114.2338961, 22.72903088, 2, 1.2890528905289054, 495840
67, 113.8210521, 22.72300151, 3, 2.5781057810578107, 1251144
1077, 114.018724, 22.62287191, 5, 3.867158671586716, 1670490
495, 113.8471295, 22.77254999, 18, 15.468634686346864, 5833728
1259, 114.0253108, 22.66369707, 2, 1.2890528905289054, 542880
1980, 113.8686746, 22.79460203, 2, 1.2890528905289054, 746702
1003, 113.9102712, 22.54288065, 6, 5.1562115621156215, 4106880
650, 114.0012656, 22.72803226, 2, 1.2890528905289054, 1160838
1128, 114.2939222, 22.66603796, 8, 6.445264452644526, 5857170
218, 113.8341494, 22.62683087, 9, 7.734317343173432, 7998960
196, 114.0020024, 22.54751793, 11, 9.023370233702337, 4277140
434, 114.0216399, 22.55492223, 5, 3.867158671586716, 2251332
1479, 113.9234122, 22.52390294, 3, 2.5781057810578107, 1918920
1004, 114.2482186, 22.597762, 5, 3.867158671586716, 1921014
1612, 114.0859619, 22.53889373, 2, 1.2890528905289054, 1178931
1493, 113.9234122, 22.52390294, 6, 5.1562115621156215, 3837840
1447, 113.9191977, 22.54583536, 3, 2.5781057810578107, 1363402
12, 114.0395011, 22.60753726, 8, 6.445264452644526, 3148825
1186, 113.9152116, 22.75330155, 15, 12.890528905289052, 7353280
873, 114.0351684, 22.64325826, 2, 1.2890528905289054, 597346
930, 113.9945542, 22.65716514, 2, 1.2890528905289054, 1060704
167, 114.1102504, 22.62251446, 2, 1.2890528905289054, 1198626
57, 114.2203198, 22.55590944, 9, 7.734317343173432, 6407640
1943, 114.5410021, 22.49485632, 2, 1.2890528905289054, 1216584
928, 114.4259074, 22.60700273, 2, 1.2890528905289054, 689955
1272, 114.1133922, 22.54692885, 5, 3.867158671586716, 2369304
34, 113.9233533, 22.58496019, 17, 14.179581795817958, 8584422
1805, 114.0654481, 22.57084405, 2, 1.2890528905289054, 816608
654, 113.9952455, 22.5333633, 5, 3.867158671586716, 2670900
1987, 113.9945339, 22.53990409, 3, 2.5781057810578107, 1030470
1384, 113.8519206, 22.76363961, 8, 6.445264452644526, 4588815
1191, 114.0914813, 22.54589324, 3, 2.5781057810578107, 1602832
1464, 114.0236759, 22.60839755, 2, 1.2890528905289054, 682731
1080, 113.8267721, 22.69907369, 2, 1.2890528905289054, 587877
1233, 113.9415958, 22.53640187, 2, 1.2890528905289054, 498128
122, 114.2301425, 22.55957429, 12, 10.312423124231243, 6159800
1904, 113.8658054, 22.58441702, 2, 1.2890528905289054, 1113365
61, 114.433137, 22.6285556, 2, 1.2890528905289054, 1056992
1600, 114.0495329, 22.51773653, 2, 1.2890528905289054, 1183336
504, 113.9176323, 22.4970986, 3, 2.5781057810578107, 2328448
543, 113.8893661, 22.5612539, 3, 2.5781057810578107, 961230
1684, 113.8553703, 22.78458004, 5, 3.867158671586716, 2155230
1550, 113.9743099, 22.68119216, 6, 5.1562115621156215, 3023028
1246, 114.3064406, 22.77130579, 15, 12.890528905289052, 10146870
95, 113.9142301, 22.54249797, 6, 5.1562115621156215, 5071328
1070, 113.8922304, 22.79108217, 2, 1.2890528905289054, 1144325
864, 114.0111018, 22.54849473, 2, 1.2890528905289054, 1184688
1477, 114.0404776, 22.52785478, 3, 2.5781057810578107, 1160064
676, 113.9415958, 22.53640187, 5, 3.867158671586716, 1494384
527, 114.0461422, 22.69132248, 2, 1.2890528905289054, 1214772
886, 114.2190663, 22.62642335, 2, 1.2890528905289054, 1125234
205, 114.3285122, 22.67135289, 2, 1.2890528905289054, 1113665
349, 114.2387213, 22.56366033, 5, 3.867158671586716, 3279744
639, 114.0447841, 22.67738457, 2, 1.2890528905289054, 781196
1468, 114.2276735, 22.69908167, 2, 1.2890528905289054, 974142
749, 113.9090228, 22.5155996, 2, 1.2890528905289054, 1121910
1258, 113.8503056, 22.72011299, 2, 1.2890528905289054, 519936
842, 114.2818029, 22.58864071, 2, 1.2890528905289054, 908778
1541, 114.3678612, 22.73955335, 3, 2.5781057810578107, 1070752
751, 114.1133922, 22.54692885, 9, 7.734317343173432, 4738608
996, 113.8824366, 22.76793183, 11, 9.023370233702337, 8248716
903, 114.1416898, 22.68866649, 2, 1.2890528905289054, 815675
292, 114.239145, 22.60466459, 2, 1.2890528905289054, 1051250
97, 114.3215746, 22.70437613, 18, 15.468634686346864, 10117800
181, 113.8825802, 22.73133707, 2, 1.2890528905289054, 1085518
197, 114.2246614, 22.68177281, 6, 5.1562115621156215, 5076432
1703, 114.4178188, 22.63241271, 2, 1.2890528905289054, 1301860
243, 113.8881337, 22.46708487, 2, 1.2890528905289054, 882934
1536, 113.8086998, 22.76195894, 2, 1.2890528905289054, 1253175
1892, 113.8948506, 22.55553054, 5, 3.867158671586716, 1751544
1500, 113.8764685, 22.77355168, 6, 5.1562115621156215, 2393784
992, 114.0513711, 22.61576577, 12, 10.312423124231243, 4176896
461, 113.9923093, 22.58984621, 2, 1.2890528905289054, 1368630
613, 113.8102429, 22.73070417, 14, 11.601476014760147, 7443675
934, 113.8544979, 22.79091959, 5, 3.867158671586716, 3866652
1793, 114.3294027, 22.68940797, 2, 1.2890528905289054, 987712
605, 114.1304523, 22.70820346, 2, 1.2890528905289054, 754320
1144, 113.8824366, 22.76793183, 2, 1.2890528905289054, 1178388
438, 114.1161173, 22.59930781, 11, 9.023370233702337, 5214860
1377, 114.0450657, 22.52313116, 8, 6.445264452644526, 3268760
74, 113.89667, 22.77535293, 6, 5.1562115621156215, 3489584
1559, 114.1272273, 22.69348192, 5, 3.867158671586716, 2970792
949, 113.980651, 22.70610151, 5, 3.867158671586716, 2535300
1347, 114.3324378, 22.69398811, 2, 1.2890528905289054, 1410400
1502, 114.3967988, 22.75156799, 2, 1.2890528905289054, 828161
1098, 114.0518927, 22.5357264, 5, 3.867158671586716, 2456850
345, 113.8605175, 22.80416164, 2, 1.2890528905289054, 871815
315, 114.0746699, 22.65832693, 3, 2.5781057810578107, 1952690
