people-ID,livelong,livelat,wslong,wslat
6950, 114.0431475, 22.5291419, 114.0946258, 22.54159553
12040, 114.0173094, 22.62430723, 0, 0
3430, 114.1142512, 22.55208526, 114.0945469, 22.55477559
12238, 114.2146226, 22.73517897, 113.9106641, 22.76447929
15264, 114.2657518, 22.75309329, 114.2755843, 22.74486627
10797, 114.0830801, 22.63255927, 114.2153776, 22.70952644
10036, 113.8821778, 22.57154463, 0, 0
15828, 114.121452, 22.60815958, 113.8716275, 22.75540599
10167, 114.0684466, 22.57172139, 114.0696339, 22.57201316
2607, 114.063936, 22.54700848, 114.0604378, 22.53882833
15914, 114.2492833, 22.72174575, 114.3207393, 22.79106247
25572, 113.9485403, 22.54665421, 114.2419631, 22.7339916
6201, 113.908799, 22.54103119, 113.8833188, 22.57999628
8557, 114.2221366, 22.6951384, 114.31753, 22.70012994
12694, 114.0499952, 22.60340822, 114.0510479, 22.59491539
2573, 114.0766158, 22.57425922, 113.9256955, 22.68654991
16856, 114.1103352, 22.68648221, 0, 0
13527, 114.2378371, 22.71639645, 114.2351296, 22.70908286
7132, 113.889128, 22.49985091, 113.9102712, 22.54288065
4663, 113.9214811, 22.49313448, 114.3160098, 22.70745292
247, 113.9233633, 22.54558424, 114.4237545, 22.63989458
15285, 114.2940064, 22.72836775, 114.2959773, 22.68899235
15718, 114.1836859, 22.65137456, 114.1984229, 22.64579507
4460, 113.9225972, 22.50748663, 113.9139943, 22.5237691
9925, 114.1354799, 22.57894241, 0, 0
14275, 114.0423111, 22.69632602, 113.9175271, 22.72183077
10267, 113.8877196, 22.49878479, 0, 0
1903, 113.9519058, 22.54701975, 113.962277, 22.53434566
6372, 113.9072826, 22.56269528, 113.972242, 22.67589127
11765, 113.8983364, 22.57014897, 0, 0
3315, 113.8505256, 22.57003332, 113.8564083, 22.58683717
1533, 114.29936, 22.59829562, 114.2598763, 22.58417074
2258, 113.9338951, 22.50164756, 113.9178831, 22.57803877
5519, 113.863216, 22.57078846, 114.3215746, 22.70437613
4545, 113.9141317, 22.50931602, 113.9239807, 22.51041167
8695, 114.1736769, 22.5659405, 113.89667, 22.77535293
