CID,Price,Capacity,Long,Lat
391,30000,12,116.52305000000,39.90605000000
392,16000,24,116.17285600000,39.80680200000
393,25000,45,116.53629700000,39.93402900000
394,13000,30,116.11452300000,39.75001300000
395,35000,30,116.45576000000,39.96822500000
396,14000,12,116.15241800000,39.90019200000
397,18000,57,116.26535900000,40.07289100000
398,14000,51,116.23291500000,40.16345900000
399,20000,21,116.41715500000,39.98466200000
400,13000,78,116.46005600000,40.21600600000
401,13000,15,116.66005200000,39.89156000000
402,18000,21,116.33722200000,39.98882200000
403,35000,15,116.52486100000,39.89902300000
404,13000,48,116.64573900000,39.67427600000
405,14000,48,116.33709900000,40.14164500000
406,14000,406,116.18949400000,39.90924100000
407,13000,36,116.23964300000,39.68049700000
408,18000,48,116.21875700000,39.93329300000
409,18000,9,116.20759600000,40.03672700000
410,18000,21,116.27874700000,39.89322500000
411,20000,87,116.45939400000,39.89934300000
412,12000,30,116.69652800000,39.76847800000
413,30000,9,116.37421500000,39.99744500000
414,13000,12,116.69150200000,39.90632200000
415,12000,57,116.43871600000,40.08798500000
416,14000,84,115.98202200000,39.84009100000
417,18000,39,116.31594500000,40.02171600000
418,12000,69,116.50503900000,39.81448400000
419,20000,63,116.32805200000,39.88145100000
420,15000,24,116.03604700000,39.87760000000
421,14000,12,116.03533300000,39.92911500000
422,20000,39,116.48100700000,39.86209700000
423,8000,12,116.65473300000,40.26195000000
424,18000,45,116.23214900000,40.00795800000
425,30000,42,116.33872000000,39.91333600000
426,35000,30,116.44302100000,40.00101700000
427,25000,42,116.57879100000,39.98844800000
428,12000,33,116.75537200000,39.83591600000
429,12000,9,116.78856400000,39.84587400000
430,18000,12,116.23422300000,39.99713500000
431,14000,30,116.08029700000,39.87728000000
432,25000,66,116.60141200000,39.99733400000
433,25000,36,116.54005700000,39.91024300000
434,20000,36,116.16328600000,40.02991000000
435,18000,21,116.16536700000,40.04780300000
436,12000,27,116.62858900000,40.23943400000
437,30000,27,116.41339600000,40.03006800000
438,13000,18,116.08342000000,40.18620100000
439,25000,27,116.56965100000,39.87739300000
440,16000,48,116.32216900000,39.92956300000
441,18000,21,116.29523900000,39.78652400000
442,25000,48,116.57566900000,39.95289400000
443,18000,54,116.13378900000,39.80849500000
444,13000,15,116.15954500000,40.15951300000
445,25000,33,116.39586400000,40.00561900000
446,14000,27,116.14565000000,39.67352100000
447,12000,18,116.63268100000,39.92381400000
448,14000,30,116.49674500000,39.71672000000
449,18000,93,116.24060800000,39.97438100000
450,30000,75,116.48917300000,39.91492700000
451,35000,12,116.51780400000,39.94509300000
452,13000,15,116.75108600000,39.68967200000
453,14000,51,116.53356600000,39.80471800000
454,35000,51,116.42690800000,39.89393500000
455,12000,15,116.38745700000,40.30594500000
456,12000,33,116.14826100000,39.73765400000
457,18000,18,116.36539500000,39.83016600000
458,20000,18,116.39171800000,39.93767700000
459,12000,12,116.70057200000,40.17996600000
460,12000,460,116.54039200000,40.16630600000
461,12000,51,116.44456100000,39.72704600000
462,25000,27,116.52542200000,39.96917100000
463,16000,63,116.32543600000,40.04576200000
464,14000,24,116.58422800000,39.78037100000
465,13000,12,116.55248800000,40.06205700000
466,13000,30,116.40082100000,40.11352500000
467,12000,24,116.92587300000,40.18518600000
468,9000,24,116.41088900000,40.34700100000
469,14000,15,116.03076700000,39.73032200000
470,13000,42,116.45499000000,40.12518900000
