CID,Capacity,Price,long,Lat
469,34,13000,116.119329,40.188194
470,8,14000,116.450856,39.575654
471,22,14000,116.529679,39.773452
472,9,13000,116.29156,39.70461
473,12,14000,116.240105,39.571484
474,31,35000,116.371843,39.887796
475,8,13000,116.55679,39.635706
476,18,13000,116.309295,40.227492
477,9,12000,116.722217,40.164043
478,33,14000,116.315163,39.759838
479,17,13000,116.677258,40.063309
480,21,18000,116.26379,39.931131
481,16,10000,116.146645,40.498454
482,13,12000,116.644156,40.121209
483,16,13000,116.370801,40.141051
484,22,13000,116.846941,39.806537
485,8,14000,116.462273,40.135667
486,9,11000,116.759958,40.35843
487,23,35000,116.438836,39.870758
488,13,20000,116.281482,39.864377
489,10,13000,116.322767,39.773872
490,14,15000,116.013829,39.960492
491,10,12000,116.858611,40.186566
492,34,13000,116.62958,39.815021
493,18,13000,116.360261,40.071559
494,5,12000,116.784564,40.033449
495,22,30000,116.586569,40.045734
496,35,13000,116.360089,39.742282
497,8,12000,116.067857,39.675082
