OID_,lat,Long,price,Rent,Capacity,district
93,40.10041000000,116.85369300000,27338,382,17,10
94,40.17140300000,117.11528600000,27476,385,54,14
95,40.18974500000,116.31972800000,24150,338,4,11
96,40.10739900000,116.53262700000,65863,921,55,10
97,39.82124200000,116.29536200000,57140,800,26,4
98,40.17594700000,116.62355100000,37025,518,23,10
99,39.91592100000,116.69504500000,56392,789,56,9
100,40.20315700000,117.26534900000,22123,309,27,14
101,39.81950300000,116.15129400000,54653,765,4,4
102,40.46877200000,115.81068300000,16798,235,23,16
103,39.90543200000,116.34464900000,282251,3951,23,2
104,39.97128000000,116.49527800000,41894,586,28,3
105,40.33365500000,117.19990500000,22123,309,6,14
106,40.07350700000,116.55499600000,50219,703,17,10
107,39.79097400000,116.53164000000,26081,364,4,12
108,39.80281700000,116.39241300000,45540,637,17,4
109,39.70522700000,116.59080100000,22237,310,14,12
110,40.01910800000,116.61900700000,44545,624,18,9
111,39.65663000000,116.69828200000,32352,452,14,9
112,40.08184600000,117.00650300000,28171,394,4,14
113,39.76819800000,116.48976400000,82992,1161,18,12
114,39.98724500000,116.08187800000,28494,398,22,7
115,40.24992500000,116.17179600000,40560,567,22,11
116,40.72231500000,116.40430400000,21430,300,13,16
117,39.64737900000,116.53082000000,22498,314,56,12
118,40.04684900000,116.24916800000,116572,1632,18,6
119,39.93405500000,116.20381700000,76658,1072,18,5
120,39.74229100000,116.56588700000,34968,489,6,9
121,39.93775100000,116.28581100000,151183,2116,27,6
122,39.95088400000,116.55207800000,59054,826,31,3
123,40.06738100000,116.83450100000,29212,409,10,10
124,39.79109400000,116.18219400000,40726,570,31,4
125,40.02737300000,116.35627800000,101636,1423,11,3
126,39.79535400000,116.79259100000,21545,301,27,9
127,40.46101700000,116.91114600000,13543,189,23,15
128,40.11223900000,116.34947400000,73447,1028,31,11
129,39.50508800000,116.40380900000,31934,447,11,12
130,40.17406400000,116.85001300000,30492,427,20,10
131,40.03304100000,116.18568000000,70993,993,13,6
132,39.88887600000,116.45364400000,69498,973,23,3
133,39.82875700000,116.48549900000,54211,758,23,3
134,40.01875900000,115.81332800000,14778,206,22,7
135,40.14673300000,116.48304700000,55020,770,27,10
136,40.20189100000,116.39947600000,49819,697,55,11
137,40.21671400000,116.72549800000,36500,511,14,10
138,40.17625900000,116.22295800000,23615,331,22,11
139,39.72549000000,116.02824600000,20292,284,28,8
140,39.86613100000,116.21730800000,50611,708,56,4
141,40.10688300000,116.08772700000,58483,818,10,6
142,40.14630500000,116.56441900000,28770,403,31,10
143,39.69092700000,116.36443200000,16997,237,22,12
144,40.03559200000,116.25895300000,144403,2022,27,6
145,39.83143600000,116.71560200000,41310,578,21,9
146,39.81145800000,116.88801500000,26650,373,4,9
147,39.87869300000,116.52607600000,66326,928,21,3
148,39.82687600000,116.06369700000,25186,352,14,8
149,40.53906800000,116.57488800000,25843,362,19,13
150,39.74570000000,116.64807000000,32352,452,21,9
151,40.65701500000,116.90261800000,14633,205,3,15
152,39.57799000000,116.05760000000,21502,301,11,8
153,39.59731600000,115.99739700000,14581,204,3,8
154,40.03858200000,116.70998600000,60620,848,22,10
155,39.91390700000,116.17789400000,52775,739,11,5
156,39.89812100000,116.57337700000,46051,644,13,3
157,39.84104200000,116.51909300000,54245,759,14,3
158,40.24826000000,116.77338000000,36500,511,4,10
159,39.98355500000,116.43751000000,194293,2720,26,3
160,39.77868900000,116.54235300000,79648,1114,26,12
161,40.35658000000,116.34417800000,21430,300,52,11
162,40.26765100000,116.58289400000,28774,403,77,13
163,39.99820800000,116.28295500000,142536,1995,23,6
164,40.00260300000,116.37375600000,105899,1482,10,3
165,39.87648700000,116.01682400000,36244,507,26,7
166,40.08669300000,116.17081500000,77508,1084,14,6
167,40.15706200000,116.27062200000,45724,639,27,11
168,40.11740600000,116.42941200000,47060,658,20,11
169,40.02410200000,116.45280400000,106151,1485,27,3
170,39.72830900000,115.74327700000,15468,216,3,8
171,39.82325500000,116.35179300000,60164,842,25,4
172,39.75048700000,116.35609600000,42890,600,22,12
173,40.16395700000,116.22873600000,56132,786,14,11
174,39.78468100000,116.41230100000,56018,784,76,12
175,40.20881300000,116.17156400000,40560,567,11,11
176,40.11253900000,116.29366200000,43037,602,77,11
177,40.34818000000,116.78907800000,17708,248,27,15
178,40.22475200000,116.56332400000,54400,762,11,10
179,39.97210200000,116.21671400000,65584,918,14,6
180,40.38232200000,116.83245800000,57366,802,2,15
181,39.91362800000,116.75582500000,37021,518,21,9
182,39.90959000000,116.28274100000,134072,1876,27,6
183,40.53288600000,117.10555800000,31135,435,23,15
184,39.90670200000,116.42392700000,137542,1926,53,1
185,39.72466500000,115.98475800000,19355,271,2,8
186,39.82176600000,116.31269400000,64787,907,23,4
187,39.62209300000,116.47674200000,23039,322,14,12
188,39.98077800000,116.60507500000,61322,858,31,3
189,40.17903600000,116.54162000000,33690,471,14,10
190,40.03129900000,116.63371500000,36061,505,27,10
191,39.54608700000,115.77495000000,32831,459,10,8
192,39.89026500000,116.38776000000,142130,1989,21,2
193,40.16344200000,116.21516000000,56132,786,22,11
194,40.05430300000,116.21272300000,70630,988,22,6
195,39.78130700000,116.70648300000,30665,429,1,9
196,40.28067600000,116.07693000000,27113,379,22,11
197,39.92834800000,116.45986700000,91309,1278,26,3
198,40.02878500000,116.40489800000,111914,1567,27,3
199,39.59119800000,116.25424300000,31079,435,27,12
200,39.61998000000,116.79661700000,22872,320,54,9
201,39.94892000000,116.27551200000,144698,2025,21,6
202,40.39771500000,116.67327600000,20072,280,14,13
203,39.90889900000,116.57266500000,72113,1009,21,3
204,39.73999800000,116.21760900000,48336,676,27,8
205,39.76670600000,116.16834800000,47281,662,28,8
206,39.96137500000,116.66157800000,51152,716,10,9
207,40.14876200000,116.34628200000,38626,541,10,11
208,40.18102400000,116.92188800000,22175,310,25,10
209,39.75079600000,116.57105900000,22291,312,11,9
210,39.85396000000,116.44914500000,74620,1045,26,4
211,39.68427400000,116.31640600000,46020,644,31,12
212,39.58803900000,116.04205400000,21502,301,13,8
213,40.09525200000,116.69163000000,36950,517,27,10
214,39.79857300000,115.98516400000,14696,205,14,8
215,39.90874800000,116.53004200000,52781,739,14,3
216,40.08176500000,116.30656300000,51629,722,26,11
217,40.57695800000,116.99036400000,31135,435,21,15
218,40.08047500000,116.10647800000,58483,818,27,6
219,40.44278700000,115.95466200000,30383,424,10,16
220,40.00104100000,115.94760900000,14778,206,20,7
221,39.87110700000,116.41564800000,118307,1656,3,4
222,39.72820600000,116.31979300000,42464,594,23,12
223,40.40516200000,115.97567300000,11941,166,26,16
224,39.60271200000,115.69666800000,32831,459,26,8
225,39.90421100000,116.22341000000,34398,481,77,5
226,39.93884900000,116.40809100000,187810,2629,53,1
227,39.99892600000,116.63119700000,83032,1162,26,9
228,40.32137700000,116.54969800000,22456,314,10,13
229,39.72513400000,116.48259800000,120149,1682,30,12
230,40.28120400000,117.00284800000,53531,750,2,14
231,40.20359700000,117.05100300000,53531,750,54,14
232,40.08970400000,116.78907800000,30895,432,34,10
233,39.58415300000,116.11323900000,21502,301,12,8
234,39.98038200000,116.53211800000,116010,1623,4,3
235,39.51961700000,116.39130700000,31934,447,10,12
236,40.14213700000,116.64909000000,41911,586,23,10
237,39.92183400000,116.14421700000,50671,709,30,5
238,39.92845000000,116.32172100000,135130,1892,24,6
239,39.89668700000,116.66314400000,43163,604,22,9
240,39.52633700000,116.25544500000,28622,400,12,12
241,40.12909800000,116.28498500000,40356,565,26,11
242,39.63489300000,116.14853100000,16770,235,26,8
243,40.08303400000,116.22525800000,71130,996,21,6
244,40.19220700000,116.53549000000,46243,648,25,10
245,40.24587000000,117.02864500000,53531,750,22,14
246,39.75910400000,116.14392900000,29958,420,31,8
247,40.08343000000,116.44688100000,44226,619,26,11
248,40.14752800000,115.92526000000,18872,264,22,11
249,40.32201200000,116.20476900000,59591,834,12,11
250,39.93088100000,116.47241000000,97510,1365,25,3
251,40.80602500000,116.71389500000,18763,262,25,13
252,40.07767700000,116.34475500000,34873,488,20,11
253,39.86611200000,116.42128100000,85337,1195,3,4
254,39.68218600000,116.07068100000,38023,532,30,8
255,39.74708500000,115.97791500000,15982,223,23,8
256,39.92926100000,116.09933500000,36814,514,24,7
257,39.61928300000,116.49858700000,22498,314,18,12
258,39.92882700000,116.59934000000,62844,879,53,3
259,39.96529200000,116.47119700000,79139,1107,32,3
260,40.03594900000,116.31684900000,100310,1404,23,6
261,39.80057800000,116.14805200000,38629,541,26,4
262,39.71083500000,116.61889600000,40855,572,21,12
263,39.97143300000,116.16230500000,77498,1084,23,5
264,39.86801400000,116.55642800000,53582,750,76,3
265,39.70181200000,116.39674900000,27952,391,56,12
266,39.83564000000,116.31366600000,83544,1170,35,4
267,39.87935600000,115.80269500000,14778,206,30,8
268,40.17877100000,116.71615100000,34801,487,23,10
269,39.85176600000,116.67779600000,51814,724,11,9
270,40.09945300000,116.12828400000,58483,818,21,6
271,40.13364900000,117.16177600000,17188,241,27,14
272,39.69413700000,116.29702300000,35864,501,23,12
273,40.11097900000,115.85420000000,18872,264,27,7
274,40.03075400000,116.43517500000,76927,1076,22,3
275,39.65121800000,116.16635700000,16770,235,23,8
276,39.84609900000,116.79275800000,26650,373,13,9
277,39.54911900000,116.36564200000,31934,447,14,12
278,39.75408100000,116.19555200000,41335,578,27,8
279,39.97158700000,116.12182900000,42612,596,21,5
280,40.36212600000,116.83699400000,30419,426,55,15
281,40.27160800000,116.62479300000,28938,405,35,13
282,39.88837300000,116.32417600000,132367,1852,24,2
283,40.16635200000,116.66653800000,47616,667,12,10
284,40.46136800000,115.92037500000,25327,354,75,16
285,39.75933800000,116.29786500000,49153,687,54,12
286,39.68375200000,116.58219600000,22237,310,31,12
287,40.02200100000,116.49257100000,145226,2032,25,3
288,40.05641900000,116.93149500000,28274,396,26,10
289,39.76464200000,116.10700000000,59705,836,23,8
290,39.86261500000,116.62667900000,44561,624,55,9
291,40.03358600000,116.53699100000,161755,2264,35,3
292,39.83449600000,116.36466400000,36521,511,19,4
293,39.89123100000,116.18709700000,47034,658,27,5
294,40.03024100000,116.74699100000,60620,848,22,10
295,40.43044700000,115.91211500000,25327,354,22,16
296,39.91996700000,116.48888000000,83134,1164,12,3
297,39.97296100000,116.34477800000,150371,2104,31,6
298,40.01793900000,116.26353600000,102350,1432,55,6
299,39.85573400000,116.27774600000,69925,979,35,4
300,40.53897300000,116.40498400000,21430,300,28,16
301,39.91487200000,116.35988000000,247826,3469,23,2
302,39.82459300000,116.28353700000,35195,493,55,4
303,39.79654500000,116.68234000000,40973,573,35,9
304,40.17328700000,116.46230600000,48646,681,22,11
305,40.03298900000,116.04514900000,18872,264,22,7
306,39.79832000000,116.21349800000,61451,860,22,8
307,40.17448600000,117.06846600000,53531,750,26,14
308,40.63204800000,116.64586200000,20072,280,21,13
309,39.58453500000,115.96650100000,13970,195,25,8
310,40.09415300000,116.54463800000,44777,626,20,10
311,40.46742400000,115.87410100000,25327,354,10,16
312,40.10619500000,116.17256700000,84848,1188,28,6
313,40.43569000000,116.24138800000,21430,300,22,16
314,40.22387200000,116.13971200000,37270,522,26,11
315,39.83158600000,115.95612800000,14696,205,26,8
316,40.08952000000,116.51746600000,61902,866,20,10
317,40.36985900000,116.09493300000,11941,166,27,16
318,39.85993300000,116.34429500000,184447,2582,22,4
319,39.78732200000,116.50622100000,35286,494,22,12
320,39.95012200000,116.35928200000,113970,1596,54,6
321,39.83926400000,116.19577600000,49625,694,54,4
322,39.92591700000,116.58899500000,72595,1016,53,3
323,40.21325700000,116.63618500000,30312,424,31,10
324,40.00976100000,116.52429000000,69892,978,25,3
325,39.72761200000,116.87467000000,26650,373,9,9
326,40.04751100000,116.34039800000,116407,1629,20,6
327,39.79118600000,116.65119300000,40973,573,30,9
328,39.93534500000,116.24209100000,105845,1482,23,6
329,40.00694800000,116.11702700000,26272,368,10,7
330,40.15840500000,116.80685500000,28344,397,23,10
331,39.98316900000,116.41418800000,97870,1370,25,3
332,39.62253000000,116.28751300000,18860,264,25,12
333,39.57764600000,116.48528500000,22498,314,19,12
334,40.21356700000,116.18132800000,40560,567,21,11
335,39.52616900000,116.42440600000,36887,516,10,12
336,40.15486800000,116.24964000000,62448,874,7,11
337,39.92294800000,116.61668900000,38102,534,30,3
338,40.07865200000,116.70160400000,41149,576,23,10
339,39.96124800000,116.28726400000,224640,3145,55,6
340,39.78560100000,116.33623500000,47580,666,36,12
341,39.87575500000,116.29975200000,123248,1725,21,4
342,40.33621100000,116.68646200000,25362,355,18,13
343,39.68135900000,116.68211100000,32352,452,9,9
344,40.33739700000,115.93298800000,22716,318,22,16
345,40.14449900000,116.60556500000,25206,352,25,10
346,39.82126200000,116.90868500000,26650,373,20,9
347,40.13644000000,116.61167100000,25206,352,25,10
348,39.73025200000,116.04759800000,22981,321,23,8
349,39.69649600000,116.20732300000,54090,757,25,8
350,39.61707500000,116.63886700000,29245,409,54,12
351,40.06588800000,116.20103700000,69719,975,33,6
352,40.01464300000,116.42759600000,121322,1698,22,3
353,39.88294700000,116.22687800000,46681,654,23,4
354,39.81742100000,116.72644400000,41310,578,20,9
355,39.89051400000,116.11562500000,28622,400,15,7
356,40.19826600000,116.81451100000,28344,397,21,10
357,39.74189600000,116.55397400000,27108,379,12,9
358,40.12109200000,116.09114700000,58483,818,20,11
359,40.29448600000,116.25196100000,59591,834,14,11
360,40.39888000000,116.61538100000,37814,529,21,13
361,39.70963300000,116.13561500000,38948,544,13,8
362,39.99962600000,116.45963400000,98293,1376,11,3
363,39.76108300000,116.50931900000,85032,1190,10,12
364,39.84877900000,116.73268200000,41310,578,27,9
365,40.06294900000,116.43993000000,46998,657,28,11
366,39.77801700000,116.08654800000,47036,658,22,8
367,39.75556800000,116.38722400000,40249,564,20,12
368,39.60767600000,116.53542100000,22498,314,13,12
369,39.68776000000,116.01034200000,16895,236,13,8
370,39.68822800000,116.47009900000,26716,374,10,12
371,40.44454500000,115.99131000000,36817,516,20,16
372,39.74122800000,116.17888000000,40712,570,21,8
373,40.23230700000,116.45811900000,36890,516,14,11
374,39.99120400000,116.17416900000,172794,2419,13,6
375,39.92315900000,116.17177300000,39676,555,20,5
376,39.76779300000,116.36396500000,38294,536,39,12
377,40.00641700000,116.36339000000,91998,1287,14,3
378,39.88401200000,116.59855100000,48283,675,36,3
379,39.91190300000,116.72924100000,141301,1978,20,9
380,40.21675100000,116.51240500000,27680,387,38,10
381,40.02912600000,116.29208100000,126176,1766,25,6
382,40.04798300000,116.79786500000,47594,666,25,10
383,39.96098100000,116.41589600000,105253,1473,75,3
384,39.66724800000,116.14486700000,16770,235,13,8
385,39.73585400000,116.33699200000,50497,706,54,12
386,40.15634700000,116.36899200000,28457,398,14,11
387,40.02426600000,116.21693000000,69212,968,21,6
388,40.06935800000,116.39431200000,55998,783,20,11
389,39.91060800000,116.64522900000,40224,562,37,9
390,39.86917400000,116.19398900000,71065,994,14,4
391,40.18082300000,116.48317500000,31126,435,23,10
392,39.93377400000,116.45352100000,97646,1366,25,3
393,40.18945900000,116.27713200000,49004,686,14,11
394,40.37760800000,115.88889100000,16798,235,25,16
395,39.87970600000,116.23673400000,36588,512,14,4
396,40.51330600000,116.15055800000,24172,338,25,16
397,40.26538500000,116.19969900000,25804,361,26,11
398,39.90877000000,116.47006300000,91226,1276,23,3
399,40.20439100000,116.20190500000,32048,448,21,11
400,39.80610400000,116.40591600000,48335,676,30,4
401,40.15133300000,116.15960800000,39634,554,9,11
402,39.97742100000,116.32977600000,130950,1833,24,6
403,40.46000500000,116.84298600000,14375,201,25,15
404,39.93273900000,116.52865900000,102648,1437,14,3
405,39.65006800000,116.29226100000,36733,514,26,12
406,40.30514000000,116.68454800000,27012,378,10,13
407,39.79585400000,116.30872700000,68773,962,20,4
408,39.76379100000,116.72359800000,30665,429,14,9
409,40.02079800000,116.32250400000,140033,1960,10,6
410,40.08609000000,116.38690200000,54343,760,20,11
411,40.12032400000,116.19546600000,60102,841,23,6
412,39.81946700000,116.43464500000,59941,838,13,12
413,39.73747700000,116.37066800000,47624,667,26,12
414,39.81049200000,116.18527800000,40726,570,9,4
415,39.81730300000,116.85983100000,26650,373,25,9
416,39.78572900000,116.86586600000,26650,373,10,9
417,39.97016700000,116.37344800000,46810,655,25,6
418,40.15361700000,116.81873300000,28186,394,39,10
419,40.20776100000,116.86710500000,30492,427,19,10
420,39.83410900000,116.65447100000,40973,573,27,9
421,40.02465200000,116.37190000000,101843,1425,26,3
422,40.08678900000,116.48142300000,103945,1455,10,10
423,39.69934800000,116.34361600000,28511,399,22,12
424,40.30015300000,116.87745600000,32708,458,9,15
425,40.13287200000,116.47305400000,77675,1087,25,11
426,40.22529100000,116.16834900000,40560,567,26,11
427,39.95991100000,116.08926300000,33598,470,29,7
428,39.68689700000,116.84688000000,39278,549,20,9
429,39.85942500000,116.47699100000,52952,741,26,3
430,40.40498600000,116.17590300000,59591,834,25,16
431,40.12354500000,116.87096500000,27338,382,23,10
432,39.89309800000,116.40446100000,348402,4878,65,1
433,40.11024600000,116.54815600000,61806,865,16,10
434,39.74384100000,115.94877100000,13086,183,26,8
435,39.72932400000,116.14391700000,26951,376,7,8
436,39.79378800000,116.25513800000,36797,514,22,4
437,40.08064800000,116.82469500000,29212,409,37,10
438,39.74703900000,116.79182300000,39278,549,13,9
439,39.71695400000,116.18353900000,54090,757,25,8
440,40.04490000000,116.39361900000,59569,834,15,11
441,40.10904500000,117.00662200000,30160,422,26,14
442,40.25441400000,116.73304900000,36500,511,9,10
443,39.86809900000,116.38859600000,98438,1377,73,1
444,40.48404900000,116.77421400000,24923,349,14,15
445,40.19490700000,116.99915000000,30160,422,22,14
446,39.82595500000,116.19082900000,37014,518,20,4
447,39.90844300000,116.18136600000,62155,870,30,5
448,40.22879300000,116.60388900000,30312,424,14,10
449,39.87936200000,116.46999500000,75511,1057,24,3
450,39.98877100000,116.22060700000,98758,1382,75,6
451,39.79355800000,115.83360000000,15468,216,15,8
452,39.90057400000,116.36654800000,208330,2917,53,2
453,39.94226800000,116.27125500000,117341,1642,28,6
454,40.02340000000,116.59614200000,47069,658,14,9
455,40.04528900000,117.00793300000,12670,177,20,14
456,39.65871200000,116.46096700000,23039,322,14,12
457,40.04281800000,116.66759200000,32452,454,39,10
458,40.20199700000,116.50220200000,31126,435,25,10
459,39.90436900000,116.50788700000,70928,992,27,3
460,40.35407400000,116.43149200000,25843,362,19,13
461,39.82611700000,116.07118900000,29054,406,25,8
462,39.93914000000,116.44181300000,43212,604,38,3
463,39.63657500000,116.42283500000,36887,516,20,12
464,39.91803100000,116.50152000000,65401,915,26,3
465,39.85066800000,116.71375100000,41310,578,29,9
466,39.97903900000,116.56268700000,101869,1425,26,3
467,40.00321900000,116.32770400000,55420,776,22,6
468,40.02834500000,116.22972200000,69212,968,22,6
469,39.74470500000,116.28240300000,41977,588,26,12
470,39.86496000000,116.12422300000,29245,409,25,4
471,40.00301300000,116.57529200000,125318,1754,26,3
472,39.67933800000,116.63562700000,26674,373,19,12
473,39.88261100000,116.27626400000,106169,1486,21,4
474,39.86077800000,116.73592800000,37872,530,20,9
475,40.20428100000,116.78489700000,28344,397,7,10
476,40.23801700000,116.26069100000,49144,687,13,11
477,40.08212700000,117.04204800000,28171,394,26,14
478,39.80069800000,116.59542100000,40067,560,25,9
479,40.37272200000,116.81535500000,27130,380,25,15
480,40.05480500000,116.66312500000,32452,454,24,10
481,39.77421900000,116.36056800000,32100,448,26,12
482,39.72945800000,116.07407900000,28798,403,18,8
483,39.87035400000,116.47468700000,66145,926,22,3
484,39.60113800000,116.09121400000,22061,308,31,8
485,39.64533600000,116.26698500000,25520,357,9,12
486,39.91587100000,116.42966400000,101186,1417,25,3
487,39.91252300000,116.26708800000,113796,1593,76,6
488,40.03480500000,116.21475900000,69212,968,20,6
489,40.09270900000,116.28856900000,65057,910,55,11
490,39.85775400000,116.49901900000,61182,856,10,3
491,39.80850600000,116.45369600000,56603,792,29,12
492,40.20789400000,116.28806500000,55252,774,25,11
493,39.93053400000,116.29827500000,154038,2156,37,6
494,39.98330900000,116.33186900000,167454,2344,19,6
495,39.79440200000,116.55549400000,48646,681,23,12
496,40.24348800000,116.14068500000,28735,402,26,11
497,39.61673600000,116.18546000000,16770,235,14,8
498,39.94975000000,116.40529300000,157068,2198,48,1
499,39.80287100000,116.38303800000,53760,752,39,4
500,39.95585400000,116.45415800000,84304,1180,26,3
501,39.90165700000,116.68237800000,57588,806,30,9
502,40.12442000000,116.38729100000,55258,774,25,11
503,39.92364300000,116.30782400000,147916,2071,24,6
504,40.11683800000,116.75639000000,30895,432,20,10
505,40.07235800000,116.32894800000,54926,769,26,11
506,40.04676500000,116.55934100000,60802,850,14,10
507,39.89229400000,116.59754700000,48023,672,28,3
508,40.06335400000,116.57788300000,41249,577,25,10
509,40.10866600000,116.62415300000,36461,510,19,10
510,39.65701000000,116.58411300000,22237,310,84,12
511,40.06646900000,115.89612500000,14778,206,10,7
512,40.29343000000,116.57621200000,28774,403,48,13
513,40.02865700000,116.33581900000,80560,1128,10,6
514,39.92622200000,116.47505600000,76583,1071,10,3
515,40.31937100000,116.77449800000,17708,248,13,15
516,39.96630300000,116.70230200000,93660,1311,15,9
517,39.88210400000,116.33384200000,132930,1861,54,2
518,40.05410100000,116.58816800000,44666,625,9,3
519,39.95864600000,116.61578500000,36971,517,34,3
520,39.65551300000,116.11435600000,16770,235,38,8
521,40.03597900000,116.46095700000,84226,1179,25,3
522,39.72523800000,116.55079600000,27108,379,26,9
523,39.92835100000,116.34112000000,185875,2602,29,2
524,39.70746800000,115.92907200000,15468,216,23,8
525,39.85039800000,116.24414400000,55781,781,22,4
526,40.11749400000,116.24922200000,45368,634,16,11
527,40.41960000000,117.00303700000,20335,284,9,15
528,40.15139700000,116.54393700000,46181,646,29,10
529,40.47626900000,116.82393000000,18115,253,9,15
530,40.06434400000,116.37300600000,94646,1324,21,11
531,39.92318500000,116.05913100000,32047,448,27,7
532,39.84572200000,116.41396700000,30274,423,19,4
533,39.92500600000,116.65161000000,42977,601,21,9
534,40.09885900000,116.91561400000,22175,310,26,10
535,39.70706500000,116.34860500000,28511,399,14,12
536,39.60327100000,115.94632200000,13970,195,74,8
537,40.00438000000,116.41953700000,102725,1437,29,3
538,39.83922800000,116.35535100000,102988,1442,52,4
539,40.09502100000,116.42260600000,49656,694,25,11
540,39.88492300000,116.29511100000,73724,1032,25,4
541,39.71967300000,116.05798200000,20362,285,75,8
542,39.89419200000,116.43339600000,124397,1741,45,1
543,40.32251800000,116.64901000000,29164,408,54,13
544,39.94043100000,116.21184900000,114870,1608,26,6
545,40.26444700000,116.13920500000,24586,344,26,11
546,40.25176100000,116.27627900000,32368,453,20,11
547,39.81389200000,116.65661000000,40973,573,13,9
548,40.07397500000,116.25793500000,114906,1609,20,6
549,40.15243100000,116.43469100000,48646,681,12,11
550,39.90327500000,116.18638000000,103063,1442,14,5
551,39.88456000000,116.30236500000,71154,996,37,4
552,39.82026200000,116.46483400000,66376,928,9,3
