ScID,Category,Lat,Long,Capacity,Staff
2020,2,40.02385100000,116.64424300000,12,3
2021,2,40.24247000000,116.76791100000,12,3
2022,2,40.04350200000,116.20270300000,12,3
2023,2,39.80469800000,116.30717000000,12,3
2024,2,39.92244800000,116.05726200000,12,3
2025,2,39.94469100000,116.33942800000,12,3
2026,2,39.86776500000,116.48493400000,12,3
2027,2,40.18021200000,117.01730400000,12,3
2028,2,39.87874600000,116.72270100000,12,3
2029,2,40.09985900000,116.55043400000,12,3
2030,2,40.04730900000,116.62118500000,12,3
2031,2,40.02628800000,116.46193800000,12,3
2032,2,40.23484300000,116.09324200000,12,3
2033,2,39.94815500000,116.33527600000,12,3
2034,2,39.96635300000,116.41057400000,12,3
2035,2,39.86217600000,116.30307100000,12,3
2036,2,40.40663600000,115.90685200000,12,3
2037,2,39.98821400000,116.41459300000,12,3
2038,2,40.12644500000,116.08079300000,12,3
2039,2,40.41452800000,116.18419900000,12,3
2040,2,40.03142400000,116.67882900000,12,3
2041,2,39.95331400000,116.39109700000,12,3
2042,2,39.79096900000,116.34977300000,12,3
2043,2,40.26179100000,116.38682700000,12,3
2044,2,39.97240600000,116.72097000000,12,3
2045,2,39.84593900000,116.35821100000,12,3
2046,2,39.88570100000,116.09576000000,12,3
2047,2,39.67455800000,116.04504900000,12,3
2048,2,40.30101000000,116.10796400000,12,3
2049,2,40.06982700000,116.69717500000,12,3
2050,2,39.61071200000,116.46742300000,12,3
2051,2,39.80510200000,116.16497500000,12,3
2052,2,39.88952200000,116.38343800000,12,3
2053,2,40.08390000000,115.87640900000,12,3
2054,2,39.82712800000,116.41538600000,12,3
2055,2,39.91651100000,116.61789000000,12,3
2056,2,40.05812400000,116.36186300000,12,3
2057,2,39.90278000000,116.38538100000,12,3
2058,2,39.92393300000,116.46262200000,12,3
2059,2,40.10113100000,116.13621900000,12,3
2060,2,40.07816500000,116.22597200000,12,3
2061,2,39.98565900000,116.46895400000,12,3
2062,2,39.81673100000,116.67518000000,12,3
2063,2,39.91226200000,116.48424600000,12,3
2064,2,39.81254800000,116.36324400000,12,3
2065,2,40.05323800000,116.22522300000,12,3
2066,2,39.92861100000,116.74986900000,12,3
2067,2,39.84056700000,116.73962300000,12,3
2068,2,39.95639800000,116.35130100000,16,4
2069,2,40.04834200000,116.79576000000,16,4
2070,2,40.10165000000,116.38107000000,16,4
2071,2,40.30436200000,117.06712800000,15,4
2072,2,40.03130100000,116.21312800000,15,4
2073,2,39.91722600000,116.58278200000,15,4
2074,2,39.70710700000,116.31539100000,15,4
2075,2,39.71417200000,116.43062900000,15,4
2076,2,39.89200700000,116.22908100000,15,4
2077,2,39.90490600000,116.17275600000,15,4
2078,2,39.80072000000,116.43489300000,15,4
2079,2,39.70224300000,116.44867300000,16,4
2080,2,39.90163300000,116.33109700000,16,4
2081,2,39.74512700000,116.54832400000,16,4
2082,2,40.10630800000,116.59731500000,16,4
2083,2,40.25723000000,116.62211500000,16,4
2084,2,39.93980400000,116.51003100000,16,4
2085,2,39.93069700000,116.45469100000,16,4
2086,2,39.78282500000,115.95241000000,16,4
2087,2,39.66962900000,116.31546200000,16,4
2088,2,40.03235900000,116.50717600000,12,3
2089,2,40.01785100000,116.19813000000,12,3
2090,2,40.29705300000,116.81979800000,12,3
2091,2,39.68531400000,116.32046300000,12,3
2092,2,40.29722000000,116.12875300000,12,3
2093,2,40.02402000000,116.61468400000,12,3
2094,2,39.96254700000,116.27926800000,12,3
2095,2,39.75781500000,116.57918800000,12,3
2096,2,40.07187600000,116.48418500000,12,3
2097,2,39.86876900000,116.39808000000,12,3
2098,2,40.10373500000,116.37859600000,12,3
2099,2,39.91150400000,116.34268900000,12,3
2100,2,39.66797800000,116.04884500000,12,3
2101,2,39.81915700000,116.55121200000,12,3
2102,2,39.94933000000,116.48050000000,12,3
2103,2,40.10134100000,116.32379500000,12,3
2104,2,39.94087800000,116.39687900000,12,3
2105,2,40.02621300000,116.30638600000,12,3
2106,2,40.12826500000,116.06275900000,12,3
2107,2,39.88327900000,116.42593600000,12,3
2108,2,39.81509600000,116.16432200000,12,3
2109,2,39.76530600000,116.23358600000,12,3
2110,2,40.03334200000,116.26654300000,12,3
2111,2,40.34748200000,116.13471600000,12,3
2112,2,39.89362800000,116.17700800000,12,3
2113,2,39.88212200000,116.47318000000,12,3
2114,2,39.98473800000,116.55034800000,12,3
