CFBID,Capacity,Long,Lat,CFBRent
257,18,116.4113045,40.63125283,8000
258,42,116.5939652,39.73713826,13000
259,93,116.5026268,39.84784339,30000
260,75,116.5548186,39.7774066,13000
261,18,116.828868,40.07903898,12000
262,105,116.2808837,39.80759871,16000
263,45,116.1244622,39.87801878,20000
264,60,116.1765909,40.13930497,18000
265,75,116.3982601,39.93835031,30000
266,18,116.4373946,39.86796106,16000
267,60,116.6853138,39.86796106,13000
268,63,116.7114145,39.81766108,14000
270,42,116.2156955,39.82772264,18000
271,57,116.3460874,39.76734085,13000
272,36,116.6461635,40.09912929,12000
273,57,116.6722636,39.97855828,13000
274,45,116.3982601,39.69685518,13000
275,54,116.2678448,39.70692738,13000
276,12,116.0462943,39.68678201,13000
277,72,116.2156955,39.9685072,20000
278,75,116.3460874,39.92829675,20000
279,33,116.3591298,39.71699862,14000
280,48,116.6331137,39.99865868,25000
281,9,116.5026268,40.01875684,20000
282,39,116.2678448,40.32003595,13000
283,42,116.3721728,39.84784339,22000
284,24,116.1896251,40.06899316,20000
285,51,116.150525,39.92829675,14000
286,21,116.6722636,40.03885287,12000
287,48,116.4895796,39.7774066,14000
288,18,116.2417688,39.63640098,12000
289,18,116.4243493,39.59607716,13000
290,87,116.620064,40.10917381,12000
291,18,116.7114145,39.93835031,12000
292,75,116.2548064,40.21963965,14000
293,99,116.4113045,40.15939055,14000
294,9,116.3069634,40.14934794,14000
295,27,116.7244649,40.36019045,11000
296,18,116.6722636,40.10917381,12000
297,78,116.4765328,39.97855828,30000
298,39,116.2417688,40.12926163,18000
299,36,116.2939233,40.19955779,14000
300,39,116.1896251,39.99865868,18000
301,60,116.5417702,39.84784339,25000
302,18,116.6331137,40.38026729,8000
303,36,116.1765909,39.76734085,13000
304,48,116.2287318,39.98860877,16000
305,27,116.2808837,40.02880511,20000
306,42,116.2026599,39.69685518,13000
307,69,116.5156743,40.04890012,30000
308,93,116.2287318,40.06899316,16000
309,63,116.1635576,39.61624124,13000
310,33,116.1896251,39.87801878,16000
311,42,116.2678448,39.86796106,20000
312,9,116.1114321,40.24976058,14000
313,87,116.3982601,39.74720669,13000
314,36,116.7244649,40.19955779,12000
315,114,116.3982601,39.8579026,30000
316,69,116.3200042,39.75727422,14000
318,45,116.0723467,39.9685072,14000
319,39,116.0593201,39.7774066,13000
320,33,116.9202158,40.10917381,13000
321,24,116.1896251,39.86796106,18000
322,60,116.620064,39.93835031,25000
323,42,116.6592135,39.92829675,12000
324,69,116.2156955,40.03885287,20000
325,33,116.2417688,39.87801878,18000
326,96,116.3591298,40.02880511,18000
328,12,116.7114145,40.24976058,13000
329,24,116.7114145,39.97855828,14000
330,15,116.7505658,40.14934794,13000
331,54,116.5156743,39.78747148,14000
332,27,116.5809161,39.92829675,30000
333,33,116.6331137,40.27987959,10000
334,48,116.3721728,40.06899316,13000
335,42,116.4504403,39.8579026,20000
336,12,116.828868,39.84784339,13000
337,18,116.8027675,39.79753552,12000
338,18,116.4243493,39.87801878,35000
339,18,116.1635576,40.09912929,18000
340,30,116.3330455,40.07903898,14000
341,51,116.5548186,40.25980045,13000
342,45,116.7636163,39.91824252,13000
343,48,116.8941173,40.07903898,13000
344,45,116.5287221,39.99865868,25000
345,496,116.5417702,40.16943283,12073
346,45,116.1765909,40.19955779,13000
347,30,116.6983641,39.70692738,12000
348,42,116.3982601,39.79753552,18000
349,42,116.3591298,39.89813205,20000
350,24,116.2939233,39.90818763,16000
351,15,116.0462943,39.59607716,13000
352,18,116.2548064,40.11921792,13000
353,48,116.620064,39.62632165,14000
354,27,116.5417702,39.65655647,14000
355,33,116.1374932,40.13930497,13000
356,96,116.3591298,39.69685518,14000
357,39,116.1114321,39.78747148,14000
358,72,116.5809161,40.04890012,12000
360,36,116.4113045,39.53555767,13000
361,30,116.2808837,39.74720669,13000
362,24,116.5939652,39.79753552,13000
363,33,116.2939233,40.05894688,18000
364,24,116.3721728,39.86796106,30000
365,30,116.3721728,39.98860877,30000
366,12,116.4895796,40.11921792,13000
367,57,116.4895796,39.74720669,14000
368,27,116.2939233,39.75727422,13000
369,36,116.6461635,39.79753552,13000
370,9,116.2026599,39.89813205,16000
371,18,116.5156743,39.97855828,35000
372,21,116.6331137,39.95845553,25000
373,30,116.6722636,39.94840323,13000
374,57,116.2417688,39.90818763,15000
