lng,lat,Price,Capacity,CID
116.39171800000,39.93767700000,20000,18,458
116.70057200000,40.17996600000,12000,12,459
116.54039200000,40.16630600000,12000,184,460
116.44456100000,39.72704600000,12000,20,461
116.52542200000,39.96917100000,25000,11,462
116.32543600000,40.04576200000,16000,25,463
116.58422800000,39.78037100000,14000,24,464
116.55248800000,40.06205700000,13000,12,465
116.40082100000,40.11352500000,13000,12,466
116.92587300000,40.18518600000,12000,39,467
116.41088900000,40.34700100000,9000,10,468
116.03076700000,39.73032200000,14000,26,469
116.45499000000,40.12518900000,13000,17,470
